variant_name,seed,network_variant,col,row,total_games,share_repeat_remembered,share_repeat_ever,last_window_share_remembered,last_window_share_ever
PM4_heatmap_speed2,2121129191,baseline,9,1,21,0.8095238095238095,0.8095238095238095,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,11,1,11,0.9090909090909091,0.9090909090909091,0.5,0.5
PM4_heatmap_speed2,2121129191,baseline,13,1,3,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,14,1,9,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,16,1,19,0.8421052631578947,0.8421052631578947,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,17,1,23,0.7391304347826086,0.7391304347826086,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,19,1,11,0.9090909090909091,0.9090909090909091,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,21,1,22,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,22,1,15,0.9333333333333333,0.9333333333333333,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,24,1,31,0.9032258064516129,0.9032258064516129,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,25,1,14,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,26,1,134,0.9253731343283582,0.9253731343283582,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,27,1,101,0.9603960396039604,0.9603960396039604,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,30,1,83,0.7590361445783133,0.7590361445783133,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,32,1,58,0.9137931034482759,0.9137931034482759,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,33,1,21,0.8095238095238095,0.8095238095238095,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,35,1,16,0.9375,0.9375,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,36,1,24,0.8333333333333334,0.8333333333333334,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,37,1,7,1.0,1.0,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,38,1,34,0.8529411764705882,0.8529411764705882,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,39,1,26,0.9230769230769231,0.9230769230769231,0.0,0.0
PM4_heatmap_speed2,2121129191,baseline,41,1,47,0.8723404255319149,0.8723404255319149,0.6666666666666666,0.6666666666666666
PM4_heatmap_speed2,2121129191,baseline,43,1,31,0.9354838709677419,0.9354838709677419,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,44,1,97,0.9072164948453608,0.9072164948453608,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,45,1,49,0.9795918367346939,0.9795918367346939,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,47,1,88,0.9886363636363636,0.9886363636363636,0.9545454545454546,0.9545454545454546
PM4_heatmap_speed2,2121129191,baseline,49,1,54,0.9259259259259259,0.9259259259259259,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,0,2,19,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,1,2,6,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,2,2,12,0.9166666666666666,0.9166666666666666,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,3,2,22,0.9545454545454546,0.9545454545454546,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,4,2,18,0.9444444444444444,0.9444444444444444,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,5,2,36,0.9722222222222222,0.9722222222222222,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,6,2,51,0.9803921568627451,0.9803921568627451,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,7,2,30,0.8666666666666667,0.8666666666666667,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,8,2,41,0.8780487804878049,0.8780487804878049,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,9,2,43,0.9534883720930233,0.9534883720930233,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,10,2,36,0.8888888888888888,0.8888888888888888,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,11,2,52,0.75,0.75,0.5,0.5
PM4_heatmap_speed2,2121129191,baseline,12,2,22,0.8181818181818182,0.8181818181818182,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,13,2,17,0.8823529411764706,0.8823529411764706,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,14,2,14,0.9285714285714286,0.9285714285714286,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,15,2,9,0.8888888888888888,0.8888888888888888,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,16,2,35,0.8571428571428571,0.8571428571428571,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,17,2,42,0.8809523809523809,0.8809523809523809,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,18,2,26,0.9230769230769231,0.9230769230769231,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,19,2,31,0.8709677419354839,0.8709677419354839,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,20,2,14,0.6428571428571429,0.6428571428571429,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,21,2,70,0.9285714285714286,0.9285714285714286,0.0,0.0
PM4_heatmap_speed2,2121129191,baseline,22,2,82,0.9512195121951219,0.9512195121951219,0.8,0.8
PM4_heatmap_speed2,2121129191,baseline,23,2,25,0.88,0.88,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,24,2,67,0.8805970149253731,0.8805970149253731,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,25,2,51,0.9019607843137255,0.9019607843137255,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,26,2,39,0.8974358974358975,0.8974358974358975,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,27,2,16,0.8125,0.8125,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,28,2,73,0.863013698630137,0.863013698630137,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,29,2,53,0.9056603773584906,0.9056603773584906,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,30,2,134,0.8955223880597015,0.8955223880597015,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,31,2,48,0.9583333333333334,0.9583333333333334,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,32,2,54,0.9074074074074074,0.9074074074074074,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,33,2,53,0.8113207547169812,0.8113207547169812,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,34,2,28,0.8214285714285714,0.8214285714285714,0.5,0.5
PM4_heatmap_speed2,2121129191,baseline,35,2,23,0.5652173913043478,0.5652173913043478,0.5,0.5
PM4_heatmap_speed2,2121129191,baseline,36,2,17,0.8823529411764706,0.8823529411764706,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,37,2,50,0.84,0.84,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,39,2,11,0.9090909090909091,0.9090909090909091,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,40,2,51,0.8235294117647058,0.8235294117647058,0.5,0.5
PM4_heatmap_speed2,2121129191,baseline,41,2,87,0.8505747126436781,0.8505747126436781,0.6666666666666666,0.6666666666666666
PM4_heatmap_speed2,2121129191,baseline,42,2,42,0.9523809523809523,0.9523809523809523,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,43,2,112,0.9285714285714286,0.9285714285714286,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,44,2,140,0.9357142857142857,0.9357142857142857,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,45,2,71,0.9577464788732394,0.9577464788732394,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,46,2,22,0.9545454545454546,0.9545454545454546,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,47,2,90,0.9777777777777777,0.9777777777777777,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,48,2,42,0.9285714285714286,0.9285714285714286,0.8,0.8
PM4_heatmap_speed2,2121129191,baseline,49,2,64,0.953125,0.953125,0.9230769230769231,0.9230769230769231
PM4_heatmap_speed2,2121129191,baseline,0,3,34,0.9411764705882353,0.9411764705882353,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,1,3,9,0.8888888888888888,0.8888888888888888,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,2,3,6,0.5,0.5,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,5,3,38,0.9736842105263158,0.9736842105263158,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,6,3,37,0.918918918918919,0.918918918918919,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,7,3,53,0.8490566037735849,0.8490566037735849,0.7777777777777778,0.7777777777777778
PM4_heatmap_speed2,2121129191,baseline,8,3,39,0.9230769230769231,0.9230769230769231,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,9,3,24,0.9166666666666666,0.9166666666666666,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,10,3,79,0.8987341772151899,0.8987341772151899,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,11,3,46,0.8043478260869565,0.8043478260869565,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,12,3,19,0.8421052631578947,0.8421052631578947,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,13,3,7,0.7142857142857143,0.7142857142857143,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,14,3,3,0.6666666666666666,0.6666666666666666,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,16,3,16,0.8125,0.8125,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,17,3,4,0.75,0.75,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,19,3,8,0.875,0.875,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,21,3,98,0.9081632653061225,0.9081632653061225,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,22,3,71,0.8732394366197183,0.8732394366197183,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,23,3,29,0.8620689655172413,0.8620689655172413,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,24,3,36,0.8611111111111112,0.8611111111111112,0.6,0.6
PM4_heatmap_speed2,2121129191,baseline,25,3,85,0.8588235294117647,0.8588235294117647,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,26,3,24,0.875,0.875,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,27,3,14,1.0,1.0,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,28,3,120,0.8666666666666667,0.8666666666666667,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,29,3,20,0.9,0.9,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,30,3,66,0.8787878787878788,0.8787878787878788,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,31,3,95,0.8631578947368421,0.8631578947368421,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,32,3,42,0.8809523809523809,0.8809523809523809,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,33,3,38,0.8157894736842105,0.8157894736842105,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,34,3,43,0.8604651162790697,0.8604651162790697,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,35,3,9,0.8888888888888888,0.8888888888888888,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,36,3,24,0.875,0.875,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,39,3,37,0.918918918918919,0.918918918918919,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,40,3,16,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,41,3,28,0.8571428571428571,0.8571428571428571,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,42,3,53,0.9433962264150944,0.9433962264150944,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,43,3,90,0.9222222222222223,0.9222222222222223,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,44,3,322,0.9285714285714286,0.9285714285714286,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,45,3,58,0.9137931034482759,0.9137931034482759,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,46,3,5,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,47,3,75,0.9866666666666667,0.9866666666666667,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,48,3,35,0.9714285714285714,0.9714285714285714,0.6666666666666666,0.6666666666666666
PM4_heatmap_speed2,2121129191,baseline,49,3,20,1.0,1.0,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,0,4,56,0.9464285714285714,0.9464285714285714,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,3,4,2,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,5,4,16,1.0,1.0,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,6,4,14,0.8571428571428571,0.8571428571428571,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,7,4,8,0.875,0.875,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,8,4,28,0.7857142857142857,0.7857142857142857,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,9,4,3,0.6666666666666666,0.6666666666666666,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,10,4,24,0.9166666666666666,0.9166666666666666,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,11,4,25,0.8,0.8,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,14,4,4,0.5,0.5,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,15,4,3,0.3333333333333333,0.3333333333333333,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,16,4,38,0.8421052631578947,0.8421052631578947,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,17,4,28,0.7857142857142857,0.7857142857142857,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,18,4,20,0.9,0.9,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,19,4,14,0.7142857142857143,0.7142857142857143,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,20,4,27,0.8148148148148148,0.8148148148148148,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,21,4,79,0.9367088607594937,0.9367088607594937,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,22,4,34,0.7352941176470589,0.7352941176470589,0.7,0.7
PM4_heatmap_speed2,2121129191,baseline,25,4,30,0.8333333333333334,0.8333333333333334,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,27,4,14,0.8571428571428571,0.8571428571428571,0.5,0.5
PM4_heatmap_speed2,2121129191,baseline,28,4,56,0.9107142857142857,0.9107142857142857,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,29,4,33,0.9393939393939394,0.9393939393939394,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,30,4,180,0.8833333333333333,0.8833333333333333,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,31,4,107,0.8504672897196262,0.8504672897196262,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,32,4,59,0.847457627118644,0.847457627118644,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,33,4,83,0.8192771084337349,0.8192771084337349,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,34,4,15,0.8666666666666667,0.8666666666666667,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,35,4,30,0.8666666666666667,0.8666666666666667,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,36,4,16,0.875,0.875,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,38,4,26,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,39,4,47,0.9148936170212766,0.9148936170212766,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,40,4,59,0.864406779661017,0.864406779661017,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,41,4,75,0.92,0.92,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,42,4,13,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,43,4,33,0.9393939393939394,0.9393939393939394,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,44,4,75,0.9733333333333334,0.9733333333333334,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,45,4,19,0.9473684210526315,0.9473684210526315,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,46,4,19,0.7894736842105263,0.7894736842105263,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,47,4,65,0.9384615384615385,0.9384615384615385,0.0,0.0
PM4_heatmap_speed2,2121129191,baseline,0,5,31,0.9032258064516129,0.9032258064516129,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,1,5,40,0.95,0.95,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,2,5,10,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,3,5,21,1.0,1.0,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,4,5,14,1.0,1.0,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,5,5,22,0.9545454545454546,0.9545454545454546,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,6,5,63,0.8412698412698413,0.8412698412698413,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,7,5,26,0.7307692307692307,0.7307692307692307,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,8,5,69,0.855072463768116,0.855072463768116,0.8571428571428571,0.8571428571428571
PM4_heatmap_speed2,2121129191,baseline,9,5,90,0.9111111111111111,0.9111111111111111,0.5,0.5
PM4_heatmap_speed2,2121129191,baseline,10,5,53,0.9056603773584906,0.9056603773584906,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,11,5,66,0.8939393939393939,0.8939393939393939,0.5,0.5
PM4_heatmap_speed2,2121129191,baseline,12,5,77,0.8051948051948052,0.8051948051948052,0.9,0.9
PM4_heatmap_speed2,2121129191,baseline,13,5,49,0.7346938775510204,0.7346938775510204,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,14,5,42,0.8571428571428571,0.8571428571428571,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,15,5,30,0.8,0.8,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,16,5,54,0.8333333333333334,0.8333333333333334,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,17,5,47,0.723404255319149,0.723404255319149,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,18,5,54,0.7962962962962963,0.7962962962962963,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,19,5,70,0.9714285714285714,0.9714285714285714,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,20,5,46,0.9347826086956522,0.9347826086956522,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,21,5,44,0.8409090909090909,0.8409090909090909,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,22,5,65,0.8923076923076924,0.8923076923076924,0.75,0.75
PM4_heatmap_speed2,2121129191,baseline,23,5,51,0.803921568627451,0.803921568627451,0.8888888888888888,0.8888888888888888
PM4_heatmap_speed2,2121129191,baseline,24,5,18,0.8333333333333334,0.8333333333333334,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,25,5,32,0.9375,0.9375,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,26,5,17,1.0,1.0,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,27,5,39,0.8461538461538461,0.8461538461538461,0.88,0.88
PM4_heatmap_speed2,2121129191,baseline,28,5,54,0.9074074074074074,0.9074074074074074,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,29,5,24,0.75,0.75,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,30,5,80,0.9125,0.9125,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,31,5,114,0.9210526315789473,0.9210526315789473,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,32,5,34,0.8529411764705882,0.8529411764705882,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,33,5,172,0.9186046511627907,0.9186046511627907,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,34,5,47,0.8085106382978723,0.8085106382978723,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,35,5,71,0.9295774647887324,0.9295774647887324,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,36,5,48,0.875,0.875,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,37,5,23,0.9130434782608695,0.9130434782608695,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,38,5,64,0.96875,0.96875,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,39,5,32,0.875,0.875,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,40,5,18,0.8333333333333334,0.8333333333333334,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,41,5,88,0.8295454545454546,0.8295454545454546,1.0,1.0
PM4_heatmap_speed2,2121129191,baseline,42,5,46,0.9565217391304348,0.9565217391304348,0.6666666666666666,0.6666666666666666
PM4_heatmap_speed2,2121129191,baseline,43,5,131,0.9236641221374046,0.9236641221374046,0.8333333333333334,0.8333333333333334
PM4_heatmap_speed2,2121129191,baseline,44,5,43,0.9534883720930233,0.9534883720930233,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,45,5,30,0.9,0.9,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,46,5,37,0.7297297297297297,0.7297297297297297,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,47,5,92,0.9239130434782609,0.9239130434782609,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,48,5,43,0.9534883720930233,0.9534883720930233,-1.0,-1.0
PM4_heatmap_speed2,2121129191,baseline,49,5,13,1.0,1.0,-1.0,-1.0
