variant_name,prediction,seed,compat_N,well_mixed,payoff_preset,payoff_T,payoff_R,payoff_P,payoff_S,evolution_on,mutation_rate,fermi_k,evolution_interval,dunbar_limit,vision_radius,player_speed,end_cycle,share_TFT,share_ALLC,share_ALLD,share_FTFT,share_TF2T,share_GRIM,share_WSLS,d_share,exploit_last_window,payoff_ALLD,payoff_TFT,payoff_all,known_partners,distinct_partners,games_per_partner,exceeding_dunbar,fixated,stabilized,stabilized_at,nb_character_changes
S1_P12_wellmixed,P1P2,2121129191,200,True,PD_classic,9.0,5.0,1.0,0.0,True,0.01,0.5,100,0,30,2.0,20000,0.23149999999999998,0.004,0.5955,0.006500000000000001,0.007000000000000001,0.125,0.030500000000000006,0.8895492590991486,0.17361630975864312,2.6617671673608414,2.665324740224066,2.6608465882412236,199.0,199.0,183.94728643216084,0.0,False,False,-1,11760
S1_P12_wellmixed,P1P2,686818433,200,True,PD_classic,9.0,5.0,1.0,0.0,True,0.01,0.5,100,0,30,2.0,20000,0.0005,0.07100000000000001,0.2375,0.36450000000000005,0.05950000000000001,0.22600000000000003,0.040999999999999995,0.53673887089311,0.31515105154166007,1.9399391166963316,0.0,1.9408379412706882,199.0,199.0,183.92703517587927,0.0,False,False,-1,10581
S1_P12_wellmixed,P1P2,744720527,200,True,PD_classic,9.0,5.0,1.0,0.0,True,0.01,0.5,100,0,30,2.0,20000,0.06200000000000001,0.0015,0.8055,0.014500000000000002,0.10700000000000001,0.0005,0.009,0.9903266358860494,0.017769768457841853,1.4220483589883215,1.4319900861894774,1.4209476163472097,199.0,199.0,183.86884422110572,0.0,False,False,-1,8059
S1_P12_wellmixed,P1P2,381425458,200,True,PD_classic,9.0,5.0,1.0,0.0,True,0.01,0.5,100,0,30,2.0,20000,0.1015,0.0005,0.836,0.009500000000000001,0.03600000000000001,0.0125,0.003999999999999999,0.9889652224927126,0.021190771602070432,1.5575894622506148,1.5535212352806977,1.5574779771252254,199.0,199.0,183.9079899497488,0.0,False,False,-1,9675
S1_P12_wellmixed,P1P2,1620985466,200,True,PD_classic,9.0,5.0,1.0,0.0,True,0.01,0.5,100,0,30,2.0,20000,0.0465,0.0025,0.884,0.0495,0.007499999999999998,0.0095,0.0005,0.9896161812236312,0.02000753147666061,1.4152319405990879,1.4223902260318089,1.414904853175396,199.0,199.0,183.91919597989946,0.0,False,False,-1,8505
S1_P12_wellmixed,P1P2,2121129191,200,True,weak_PD,1.6,1.0,0.0,0.0,True,0.01,0.5,100,0,30,2.0,20000,0.0025,0.074,0.38950000000000007,0.025,0.031,0.0035000000000000005,0.47450000000000003,0.5400152334614046,0.33282805343198146,0.728846976750865,0.0,0.7277931577221525,199.0,199.0,183.9263316582915,0.0,False,False,-1,11866
S1_P12_wellmixed,P1P2,686818433,200,True,weak_PD,1.6,1.0,0.0,0.0,True,0.01,0.5,100,0,30,2.0,20000,0.014000000000000002,0.0005,0.5715,0.038,0.015,0.16299999999999998,0.198,0.764073403735112,0.27767126056295716,0.4730949895063734,0.46555525386916324,0.4739798346525762,199.0,199.0,183.91005025125637,0.0,False,False,-1,14162
S1_P12_wellmixed,P1P2,744720527,200,True,weak_PD,1.6,1.0,0.0,0.0,True,0.01,0.5,100,0,30,2.0,20000,0.20800000000000002,0.012,0.025500000000000002,0.038000000000000006,0.0185,0.06750000000000002,0.6305000000000001,0.06112652595708166,0.04754262131311312,0.6641811891714147,0.6680603774351217,0.667671654277376,199.0,199.0,183.9361809045227,0.0,False,False,-1,14350
S1_P12_wellmixed,P1P2,381425458,200,True,weak_PD,1.6,1.0,0.0,0.0,True,0.01,0.5,100,0,30,2.0,20000,0.0025,0.006,0.7145,0.019,0.004,0.12200000000000003,0.132,0.8444610898789298,0.22266642635951042,0.43711432973318703,0.0,0.4379918526731838,199.0,199.0,183.9480904522612,0.0,False,False,-1,13741
S1_P12_wellmixed,P1P2,1620985466,200,True,weak_PD,1.6,1.0,0.0,0.0,True,0.01,0.5,100,0,30,2.0,20000,0.006,0.1365,0.6855,0.0505,0.0315,0.021500000000000002,0.06849999999999999,0.7843837759704944,0.30650202163697954,0.4868827426727474,0.487531181494219,0.4863117485304796,199.0,199.0,183.94849246231155,0.0,False,False,-1,13043
