variant_name,seed,payoff_preset,compat_N,well_mixed,mutation_rate,dunbar_limit,player_speed,cycle,share_TFT,share_ALLC,share_ALLD,share_FTFT,share_TF2T,share_GRIM,share_WSLS,share_QLEARN,share_AQLEARN,d_share_window,nb_character_changes
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,45400,0.03,0.0,0.915,0.05,0.0,0.005,0.0,0.0,0.0,0.954954954954955,860
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,45500,0.03,0.0,0.915,0.05,0.0,0.005,0.0,0.0,0.0,0.9530516431924883,860
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,45600,0.03,0.0,0.915,0.05,0.0,0.005,0.0,0.0,0.0,0.8786407766990292,860
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,45700,0.03,0.0,0.915,0.05,0.0,0.005,0.0,0.0,0.0,0.8717948717948718,860
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,45800,0.03,0.0,0.915,0.05,0.0,0.005,0.0,0.0,0.0,0.895910780669145,860
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,45900,0.03,0.0,0.915,0.05,0.0,0.005,0.0,0.0,0.0,0.9369918699186992,860
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,46000,0.03,0.0,0.915,0.05,0.0,0.005,0.0,0.0,0.0,0.954954954954955,862
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,46100,0.03,0.0,0.915,0.05,0.0,0.005,0.0,0.0,0.0,0.9425287356321839,862
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,46200,0.03,0.0,0.915,0.05,0.0,0.005,0.0,0.0,0.0,0.9844559585492227,862
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,46300,0.03,0.0,0.915,0.05,0.0,0.005,0.0,0.0,0.0,1.0,862
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,46400,0.03,0.0,0.915,0.05,0.0,0.005,0.0,0.0,0.0,0.978448275862069,862
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,46500,0.03,0.0,0.92,0.045,0.0,0.005,0.0,0.0,0.0,0.9569672131147541,863
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,46600,0.03,0.0,0.925,0.04,0.0,0.005,0.0,0.0,0.0,0.9612546125461254,864
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,46700,0.03,0.0,0.925,0.04,0.0,0.005,0.0,0.0,0.0,0.9619771863117871,864
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,46800,0.03,0.0,0.93,0.035,0.0,0.005,0.0,0.0,0.0,0.9745762711864406,865
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,46900,0.03,0.0,0.935,0.03,0.0,0.005,0.0,0.0,0.0,1.0,866
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,47000,0.03,0.0,0.935,0.03,0.0,0.005,0.0,0.0,0.0,0.9812206572769953,866
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,47100,0.03,0.0,0.94,0.025,0.0,0.005,0.0,0.0,0.0,0.9475,867
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,47200,0.03,0.0,0.94,0.025,0.0,0.005,0.0,0.0,0.0,0.9494949494949495,867
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,47300,0.03,0.0,0.94,0.025,0.0,0.005,0.0,0.0,0.0,0.9540229885057471,867
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,47400,0.03,0.0,0.945,0.02,0.0,0.005,0.0,0.0,0.0,0.9290540540540541,868
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,47500,0.03,0.0,0.945,0.02,0.0,0.005,0.0,0.0,0.0,0.9280575539568345,868
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,47600,0.03,0.0,0.945,0.02,0.0,0.005,0.0,0.0,0.0,0.927536231884058,868
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,47700,0.03,0.0,0.945,0.02,0.0,0.005,0.0,0.0,0.0,0.9295774647887324,868
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,47800,0.03,0.0,0.945,0.02,0.0,0.005,0.0,0.0,0.0,0.9404761904761905,868
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,47900,0.03,0.0,0.945,0.02,0.0,0.005,0.0,0.0,0.0,0.9444444444444444,868
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,48000,0.03,0.0,0.945,0.02,0.0,0.005,0.0,0.0,0.0,0.9534883720930233,868
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,48100,0.03,0.0,0.945,0.02,0.0,0.005,0.0,0.0,0.0,0.9565217391304348,868
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,48200,0.03,0.0,0.945,0.02,0.0,0.005,0.0,0.0,0.0,0.957983193277311,868
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,48300,0.03,0.0,0.945,0.02,0.0,0.005,0.0,0.0,0.0,0.9574898785425101,868
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,48400,0.03,0.0,0.94,0.025,0.0,0.005,0.0,0.0,0.0,0.9541666666666667,869
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,48500,0.03,0.0,0.94,0.025,0.0,0.005,0.0,0.0,0.0,0.9495614035087719,869
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,48600,0.03,0.0,0.94,0.025,0.0,0.005,0.0,0.0,0.0,0.94140625,869
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,48700,0.03,0.0,0.94,0.025,0.0,0.005,0.0,0.0,0.0,0.9071428571428571,869
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,48800,0.03,0.0,0.94,0.025,0.0,0.005,0.0,0.0,0.0,0.9451476793248945,869
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,48900,0.03,0.0,0.94,0.025,0.0,0.005,0.0,0.0,0.0,0.9652777777777778,869
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,49000,0.025,0.0,0.945,0.025,0.0,0.005,0.0,0.0,0.0,0.9711538461538461,870
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,49100,0.025,0.0,0.94,0.03,0.0,0.005,0.0,0.0,0.0,0.9979838709677419,871
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,49200,0.025,0.0,0.94,0.03,0.0,0.005,0.0,0.0,0.0,0.9977477477477478,871
S2_pairs,686818433,weak_PD,200,False,0.0,0,0.1,49300,0.025,0.0,0.94,0.03,0.0,0.005,0.0,0.0,0.0,0.9644670050761421,871
