variant_name,prediction,seed,compat_N,well_mixed,payoff_preset,payoff_T,payoff_R,payoff_P,payoff_S,evolution_on,mutation_rate,fermi_k,evolution_interval,dunbar_limit,vision_radius,player_speed,end_cycle,share_TFT,share_ALLC,share_ALLD,share_FTFT,share_TF2T,share_GRIM,share_WSLS,d_share,exploit_last_window,payoff_ALLD,payoff_TFT,payoff_all,known_partners,distinct_partners,games_per_partner,exceeding_dunbar,fixated,stabilized,alld_trend_10k,nb_character_changes,network_variant,net_nodes,net_edges,net_mean_degree,net_avg_path,net_density,net_betw_max,net_betw_mean,enc_share_remembered,enc_share_ever,enc_distinct,net_edges_removed,payoff_mode,b,c,c_over_b,kin_on,family_size,family_r,kin_spatial_clustering,kin_strategy_correlation,kin_imitation_bias,kin_matching_prob,fitness_mode,inclusive_variant,r_hat_all,r_hat_kin,r_hat_first_window,r_hat_last_window,kin_interaction_share,coop_with_kin,coop_with_strangers,r_hat_all_pooled,p4_intervals,p4_sign_agreement,kin_matching_mode
PM8_P2_network,S2,744720527,200,False,PD_classic,9.0,5.0,1.0,0.0,True,0.0,0.5,100,0,30,0.1,100000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2226424887603016,0.0,1.2226424887603016,19.83,19.83,92.82767715503394,0.0,True,True,0.0012320449281775154,367,baseline,1024,1888,3.6875,23.17564027370479,0.003604594330400782,0.10896384010298515,0.01845320591177862,0.9896270173647106,0.9896270173647106,1.2941176470588236,0,classic,1.0,0.3,0.3,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
PM8_P2_network,S2,2121129191,200,False,PD_classic,9.0,5.0,1.0,0.0,True,0.0,0.5,100,0,30,0.1,100000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.319327915028796,0.0,1.319327915028796,19.36,19.36,99.97703011837307,0.0,True,True,0.0016158304633218533,555,baseline,1024,1888,3.6875,23.17564027370479,0.003604594330400782,0.10896384010298515,0.01845320591177862,0.9858835762037368,0.9858835762037368,1.3012048192771084,0,classic,1.0,0.3,0.3,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
PM8_P2_network,S2,381425458,200,False,PD_classic,9.0,5.0,1.0,0.0,True,0.0,0.5,100,0,30,0.1,100000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2916239397463174,0.0,1.2916239397463174,19.47,19.47,97.99573307597697,0.0,True,True,0.0,436,baseline,1024,1888,3.6875,23.17564027370479,0.003604594330400782,0.10896384010298515,0.01845320591177862,0.9907879923149142,0.9907879923149142,1.2842105263157895,0,classic,1.0,0.3,0.3,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
PM8_P2_network,S2,686818433,200,False,PD_classic,9.0,5.0,1.0,0.0,True,0.0,0.5,100,0,30,0.1,100000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.323675926493993,0.0,1.323675926493993,19.95,19.95,98.260926900683,0.0,True,True,0.0,472,baseline,1024,1888,3.6875,23.17564027370479,0.003604594330400782,0.10896384010298515,0.01845320591177862,0.993027281129799,0.993027281129799,1.4864864864864864,0,classic,1.0,0.3,0.3,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
PM8_P2_network,S2,1669164794,200,False,PD_classic,9.0,5.0,1.0,0.0,True,0.0,0.5,100,0,30,0.1,100000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2741284091510015,0.0,1.2741284091510015,20.3,20.3,96.6046530262247,0.0,True,True,0.0,490,baseline,1024,1888,3.6875,23.17564027370479,0.003604594330400782,0.10896384010298515,0.01845320591177862,0.9902104515002903,0.9902104515002903,1.3814432989690721,0,classic,1.0,0.3,0.3,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
PM8_P2_network,S2,1620985466,200,False,PD_classic,9.0,5.0,1.0,0.0,True,0.0,0.5,100,0,30,0.1,100000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2675660636780726,0.0,1.2675660636780726,19.99,19.99,93.62162090086477,0.0,True,True,0.0,478,baseline,1024,1888,3.6875,23.17564027370479,0.003604594330400782,0.10896384010298515,0.01845320591177862,0.9873499401586752,0.9873499401586752,1.3707865168539326,0,classic,1.0,0.3,0.3,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
PM8_P2_network,S2,126337246,200,False,PD_classic,9.0,5.0,1.0,0.0,True,0.0,0.5,100,0,30,0.1,100000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4386894399652241,0.0,1.4386894399652241,18.4,18.4,99.73012952370519,0.0,True,True,0.0,568,baseline,1024,1888,3.6875,23.17564027370479,0.003604594330400782,0.10896384010298515,0.01845320591177862,0.9922020670773701,0.9922020670773701,1.3670886075949367,0,classic,1.0,0.3,0.3,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
PM8_P2_network,S2,798359651,200,False,PD_classic,9.0,5.0,1.0,0.0,True,0.0,0.5,100,0,30,0.1,100000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3201557177556378,0.0,1.3201557177556378,19.99,19.99,106.05460064180286,0.0,True,True,0.0,485,baseline,1024,1888,3.6875,23.17564027370479,0.003604594330400782,0.10896384010298515,0.01845320591177862,0.9890074794160141,0.9890074794160141,1.3846153846153846,0,classic,1.0,0.3,0.3,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
PM8_P2_network,S2,317149051,200,False,PD_classic,9.0,5.0,1.0,0.0,True,0.0,0.5,100,0,30,0.1,100000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.250780164694015,0.0,1.250780164694015,18.81,18.81,100.51015109463513,0.0,True,True,0.0001405445621782487,400,baseline,1024,1888,3.6875,23.17564027370479,0.003604594330400782,0.10896384010298515,0.01845320591177862,0.9927916344702389,0.9927916344702389,1.2391304347826086,0,classic,1.0,0.3,0.3,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
PM8_P2_network,S2,433399445,200,False,PD_classic,9.0,5.0,1.0,0.0,True,0.0,0.5,100,0,30,0.1,100000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2841457473676188,0.0,1.2841457473676188,19.74,19.74,103.3808519268772,0.0,True,True,0.0,490,baseline,1024,1888,3.6875,23.17564027370479,0.003604594330400782,0.10896384010298515,0.01845320591177862,0.9567597877041469,0.9567597877041469,1.4186046511627908,0,classic,1.0,0.3,0.3,False,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
