variant_name,seed,network_variant,col,row,total_games,share_repeat_remembered,share_repeat_ever,last_window_share_remembered,last_window_share_ever
PM4_heatmap,2121129191,baseline,36,2,10,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,37,2,98,0.9795918367346939,0.9795918367346939,-1.0,-1.0
PM4_heatmap,2121129191,baseline,39,2,55,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,40,2,112,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,3,3,51,0.9803921568627451,0.9803921568627451,-1.0,-1.0
PM4_heatmap,2121129191,baseline,4,3,14,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,8,3,3,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,11,3,102,0.9803921568627451,0.9803921568627451,-1.0,-1.0
PM4_heatmap,2121129191,baseline,12,3,88,0.9886363636363636,0.9886363636363636,-1.0,-1.0
PM4_heatmap,2121129191,baseline,22,3,38,0.9736842105263158,0.9736842105263158,-1.0,-1.0
PM4_heatmap,2121129191,baseline,23,3,21,0.9523809523809523,0.9523809523809523,-1.0,-1.0
PM4_heatmap,2121129191,baseline,25,3,78,0.9743589743589743,0.9743589743589743,-1.0,-1.0
PM4_heatmap,2121129191,baseline,26,3,41,0.9512195121951219,0.9512195121951219,-1.0,-1.0
PM4_heatmap,2121129191,baseline,28,3,122,0.9672131147540983,0.9672131147540983,-1.0,-1.0
PM4_heatmap,2121129191,baseline,30,3,24,0.9583333333333334,0.9583333333333334,-1.0,-1.0
PM4_heatmap,2121129191,baseline,31,3,18,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,35,3,2,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,36,3,22,0.9545454545454546,0.9545454545454546,-1.0,-1.0
PM4_heatmap,2121129191,baseline,39,3,102,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,41,3,5,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,42,3,90,0.9888888888888889,0.9888888888888889,-1.0,-1.0
PM4_heatmap,2121129191,baseline,43,3,33,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,3,4,3,0.6666666666666666,0.6666666666666666,-1.0,-1.0
PM4_heatmap,2121129191,baseline,5,4,2,0.5,0.5,-1.0,-1.0
PM4_heatmap,2121129191,baseline,6,4,48,0.9791666666666666,0.9791666666666666,-1.0,-1.0
PM4_heatmap,2121129191,baseline,7,4,14,0.9285714285714286,0.9285714285714286,-1.0,-1.0
PM4_heatmap,2121129191,baseline,11,4,18,0.9444444444444444,0.9444444444444444,-1.0,-1.0
PM4_heatmap,2121129191,baseline,21,4,36,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,22,4,10,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,25,4,93,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,28,4,147,0.9795918367346939,0.9795918367346939,-1.0,-1.0
PM4_heatmap,2121129191,baseline,30,4,63,0.9841269841269841,0.9841269841269841,-1.0,-1.0
PM4_heatmap,2121129191,baseline,31,4,35,0.9714285714285714,0.9714285714285714,-1.0,-1.0
PM4_heatmap,2121129191,baseline,35,4,2,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,36,4,18,0.9444444444444444,0.9444444444444444,-1.0,-1.0
PM4_heatmap,2121129191,baseline,39,4,7,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,40,4,60,0.9666666666666667,0.9666666666666667,-1.0,-1.0
PM4_heatmap,2121129191,baseline,41,4,31,0.967741935483871,0.967741935483871,-1.0,-1.0
PM4_heatmap,2121129191,baseline,45,4,2,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,46,4,5,0.8,0.8,-1.0,-1.0
PM4_heatmap,2121129191,baseline,3,5,117,0.9829059829059829,0.9829059829059829,-1.0,-1.0
PM4_heatmap,2121129191,baseline,5,5,16,0.9375,0.9375,-1.0,-1.0
PM4_heatmap,2121129191,baseline,6,5,14,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,10,5,10,0.9,0.9,-1.0,-1.0
PM4_heatmap,2121129191,baseline,11,5,32,0.96875,0.96875,0.96875,0.96875
PM4_heatmap,2121129191,baseline,12,5,42,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762
PM4_heatmap,2121129191,baseline,21,5,44,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,22,5,146,1.0,1.0,1.0,1.0
PM4_heatmap,2121129191,baseline,23,5,18,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,25,5,76,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,26,5,60,0.9666666666666667,0.9666666666666667,-1.0,-1.0
PM4_heatmap,2121129191,baseline,28,5,102,1.0,1.0,1.0,1.0
PM4_heatmap,2121129191,baseline,29,5,2,0.5,0.5,-1.0,-1.0
PM4_heatmap,2121129191,baseline,30,5,41,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,31,5,44,0.9772727272727273,0.9772727272727273,-1.0,-1.0
PM4_heatmap,2121129191,baseline,33,5,25,0.96,0.96,-1.0,-1.0
PM4_heatmap,2121129191,baseline,34,5,97,0.9896907216494846,0.9896907216494846,-1.0,-1.0
PM4_heatmap,2121129191,baseline,35,5,30,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,36,5,32,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,37,5,6,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,38,5,56,0.9821428571428571,0.9821428571428571,-1.0,-1.0
PM4_heatmap,2121129191,baseline,39,5,4,0.75,0.75,-1.0,-1.0
PM4_heatmap,2121129191,baseline,40,5,3,0.6666666666666666,0.6666666666666666,-1.0,-1.0
PM4_heatmap,2121129191,baseline,41,5,179,0.994413407821229,0.994413407821229,1.0,1.0
PM4_heatmap,2121129191,baseline,42,5,27,0.9259259259259259,0.9259259259259259,0.8571428571428571,0.8571428571428571
PM4_heatmap,2121129191,baseline,43,5,143,0.993006993006993,0.993006993006993,0.9824561403508771,0.9824561403508771
PM4_heatmap,2121129191,baseline,46,5,7,0.8571428571428571,0.8571428571428571,-1.0,-1.0
PM4_heatmap,2121129191,baseline,3,6,128,0.9921875,0.9921875,-1.0,-1.0
PM4_heatmap,2121129191,baseline,5,6,14,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,9,6,2,0.5,0.5,-1.0,-1.0
PM4_heatmap,2121129191,baseline,10,6,8,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,18,6,15,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,19,6,16,0.875,0.875,-1.0,-1.0
PM4_heatmap,2121129191,baseline,22,6,68,0.9705882352941176,0.9705882352941176,-1.0,-1.0
PM4_heatmap,2121129191,baseline,25,6,84,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,26,6,8,0.875,0.875,-1.0,-1.0
PM4_heatmap,2121129191,baseline,27,6,65,0.9846153846153847,0.9846153846153847,-1.0,-1.0
PM4_heatmap,2121129191,baseline,28,6,69,1.0,1.0,1.0,1.0
PM4_heatmap,2121129191,baseline,29,6,247,0.9878542510121457,0.9878542510121457,0.9867549668874173,0.9867549668874173
PM4_heatmap,2121129191,baseline,30,6,41,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,31,6,65,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,33,6,89,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,34,6,111,0.990990990990991,0.990990990990991,-1.0,-1.0
PM4_heatmap,2121129191,baseline,35,6,4,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,36,6,24,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,38,6,21,0.9523809523809523,0.9523809523809523,-1.0,-1.0
PM4_heatmap,2121129191,baseline,41,6,180,0.9944444444444445,0.9944444444444445,0.9900990099009901,0.9900990099009901
PM4_heatmap,2121129191,baseline,42,6,18,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,43,6,279,0.982078853046595,0.982078853046595,0.96,0.96
PM4_heatmap,2121129191,baseline,44,6,51,1.0,1.0,1.0,1.0
PM4_heatmap,2121129191,baseline,45,6,38,0.9736842105263158,0.9736842105263158,1.0,1.0
PM4_heatmap,2121129191,baseline,46,6,220,0.990909090909091,0.990909090909091,0.9836065573770492,0.9836065573770492
PM4_heatmap,2121129191,baseline,47,6,195,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,48,6,200,0.995,0.995,-1.0,-1.0
PM4_heatmap,2121129191,baseline,3,7,78,0.9871794871794872,0.9871794871794872,-1.0,-1.0
PM4_heatmap,2121129191,baseline,4,7,71,0.9577464788732394,0.9577464788732394,-1.0,-1.0
PM4_heatmap,2121129191,baseline,5,7,78,0.9871794871794872,0.9871794871794872,-1.0,-1.0
PM4_heatmap,2121129191,baseline,6,7,46,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,19,7,15,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,25,7,26,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,28,7,165,0.9878787878787879,0.9878787878787879,0.975609756097561,0.975609756097561
PM4_heatmap,2121129191,baseline,29,7,288,0.9965277777777778,0.9965277777777778,1.0,1.0
PM4_heatmap,2121129191,baseline,30,7,16,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,34,7,56,0.9821428571428571,0.9821428571428571,-1.0,-1.0
PM4_heatmap,2121129191,baseline,35,7,146,0.9931506849315068,0.9931506849315068,-1.0,-1.0
PM4_heatmap,2121129191,baseline,36,7,31,0.967741935483871,0.967741935483871,-1.0,-1.0
PM4_heatmap,2121129191,baseline,37,7,7,0.8571428571428571,0.8571428571428571,-1.0,-1.0
PM4_heatmap,2121129191,baseline,38,7,49,0.9795918367346939,0.9795918367346939,-1.0,-1.0
PM4_heatmap,2121129191,baseline,41,7,141,0.9858156028368794,0.9858156028368794,1.0,1.0
PM4_heatmap,2121129191,baseline,42,7,405,0.9851851851851852,0.9851851851851852,1.0,1.0
PM4_heatmap,2121129191,baseline,43,7,150,0.9733333333333334,0.9733333333333334,-1.0,-1.0
PM4_heatmap,2121129191,baseline,44,7,208,0.9951923076923077,0.9951923076923077,1.0,1.0
PM4_heatmap,2121129191,baseline,45,7,56,0.9821428571428571,0.9821428571428571,0.0,0.0
PM4_heatmap,2121129191,baseline,47,7,19,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,48,7,282,0.9964539007092199,0.9964539007092199,-1.0,-1.0
PM4_heatmap,2121129191,baseline,49,7,53,0.9811320754716981,0.9811320754716981,-1.0,-1.0
PM4_heatmap,2121129191,baseline,3,8,22,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,4,8,38,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,5,8,1,0.0,0.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,6,8,100,0.99,0.99,-1.0,-1.0
PM4_heatmap,2121129191,baseline,7,8,103,0.9902912621359223,0.9902912621359223,-1.0,-1.0
PM4_heatmap,2121129191,baseline,8,8,85,0.9882352941176471,0.9882352941176471,-1.0,-1.0
PM4_heatmap,2121129191,baseline,9,8,14,0.9285714285714286,0.9285714285714286,-1.0,-1.0
PM4_heatmap,2121129191,baseline,25,8,138,0.9927536231884058,0.9927536231884058,-1.0,-1.0
PM4_heatmap,2121129191,baseline,26,8,157,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,27,8,98,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,35,8,140,0.9857142857142858,0.9857142857142858,-1.0,-1.0
PM4_heatmap,2121129191,baseline,36,8,35,0.9714285714285714,0.9714285714285714,-1.0,-1.0
PM4_heatmap,2121129191,baseline,37,8,12,0.9166666666666666,0.9166666666666666,-1.0,-1.0
PM4_heatmap,2121129191,baseline,38,8,45,0.9777777777777777,0.9777777777777777,-1.0,-1.0
PM4_heatmap,2121129191,baseline,39,8,136,0.9852941176470589,0.9852941176470589,-1.0,-1.0
PM4_heatmap,2121129191,baseline,40,8,42,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,41,8,60,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,42,8,43,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,43,8,180,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,44,8,131,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,48,8,11,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,49,8,111,0.990990990990991,0.990990990990991,-1.0,-1.0
PM4_heatmap,2121129191,baseline,2,9,12,0.9166666666666666,0.9166666666666666,-1.0,-1.0
PM4_heatmap,2121129191,baseline,3,9,40,1.0,1.0,-1.0,-1.0
