variant_name,prediction,seed,compat_N,well_mixed,payoff_preset,payoff_T,payoff_R,payoff_P,payoff_S,evolution_on,mutation_rate,fermi_k,evolution_interval,dunbar_limit,vision_radius,player_speed,end_cycle,share_TFT,share_ALLC,share_ALLD,share_FTFT,share_TF2T,share_GRIM,share_WSLS,d_share,exploit_last_window,payoff_ALLD,payoff_TFT,payoff_all,known_partners,distinct_partners,games_per_partner,exceeding_dunbar,fixated,stabilized,alld_trend_10k,nb_character_changes
S2_pairs,S2,2121129191,200,False,PD_classic,9.0,5.0,1.0,0.0,True,0.01,0.5,100,0,30,0.1,100000,0.09549999999999999,0.07100000000000002,0.6075000000000002,0.0925,0.071,0.027500000000000004,0.03500000000000001,0.8335122037748504,0.03482880755608028,1.929969831234067,1.8253897163668604,1.957254612347063,18.47,18.47,98.25660127963805,0.0,False,True,0.0007286909147596307,4373
S2_pairs,S2,686818433,200,False,PD_classic,9.0,5.0,1.0,0.0,True,0.01,0.5,100,0,30,0.1,100000,0.07649999999999998,0.026999999999999996,0.631,0.0625,0.08499999999999999,0.07000000000000002,0.047999999999999994,0.7958518660487534,0.025102459016393443,1.7866108571119277,2.045718665069757,1.8922672638667242,19.99,19.99,95.65420498282394,0.0,False,True,-0.01232844131376562,4296
S2_pairs,S2,381425458,200,False,PD_classic,9.0,5.0,1.0,0.0,True,0.01,0.5,100,0,30,0.1,100000,0.053000000000000005,0.03300000000000001,0.6719999999999999,0.0625,0.052000000000000005,0.08149999999999999,0.04599999999999999,0.8184042810235669,0.00684931506849315,1.6584982056288184,1.699660634947949,1.705001074581655,19.77,19.77,103.85666333224273,0.0,False,True,-0.010468721874884936,4188
S2_pairs,S2,744720527,200,False,PD_classic,9.0,5.0,1.0,0.0,True,0.01,0.5,100,0,30,0.1,100000,0.139,0.024,0.6180000000000001,0.04399999999999999,0.08149999999999999,0.05149999999999999,0.041999999999999996,0.7838266578507408,0.010801591813530414,1.8338961145370631,1.9997299264342572,1.843713045260238,19.12,19.12,94.50796818059933,0.0,False,True,-0.018725786903148346,4276
S2_pairs,S2,1620985466,200,False,PD_classic,9.0,5.0,1.0,0.0,True,0.01,0.5,100,0,30,0.1,100000,0.12250000000000001,0.029000000000000005,0.574,0.08199999999999999,0.11499999999999999,0.04599999999999999,0.0315,0.8677101744499396,0.01588310038119441,1.8089396765908543,1.6315804855212834,1.7863928933635282,20.29,20.29,91.95944832722539,0.0,False,True,3.5616142462738796e-05,4374
S2_pairs,S2,2121129191,200,False,weak_PD,1.6,1.0,0.0,0.0,True,0.01,0.5,100,0,30,0.1,100000,0.133,0.05600000000000001,0.362,0.14400000000000004,0.1135,0.14350000000000004,0.047999999999999994,0.5033900061484882,0.1057014734144779,0.3402016751760423,0.40974481924319456,0.3927606501039286,19.69,19.69,93.88393790091236,0.0,False,True,-0.017211596846388302,5432
S2_pairs,S2,686818433,200,False,weak_PD,1.6,1.0,0.0,0.0,True,0.01,0.5,100,0,30,0.1,100000,0.12400000000000003,0.07949999999999999,0.43850000000000006,0.12349999999999998,0.14550000000000002,0.0595,0.029500000000000005,0.7671552578384933,0.09421182266009852,0.34651858904182703,0.3847710863561267,0.39377311589625263,19.76,19.76,97.6422924027325,0.0,False,True,0.014617498469992232,5540
S2_pairs,S2,744720527,200,False,weak_PD,1.6,1.0,0.0,0.0,True,0.01,0.5,100,0,30,0.1,100000,0.14150000000000001,0.08099999999999999,0.46399999999999997,0.07850000000000004,0.05099999999999999,0.09799999999999999,0.086,0.6577189295871553,0.02361111111111111,0.3383169761758544,0.3560645459939299,0.365556605153813,19.88,19.88,93.21584551110104,0.0,False,False,-0.026592442369768383,5440
S2_pairs,S2,381425458,200,False,weak_PD,1.6,1.0,0.0,0.0,True,0.01,0.5,100,0,30,0.1,100000,0.133,0.07899999999999999,0.45999999999999996,0.1065,0.06600000000000002,0.072,0.08349999999999999,0.6365651097257097,0.03596802841918295,0.35539020309476665,0.35854308739438917,0.38268345908730705,20.14,20.14,99.73644284783785,0.0,False,True,0.015784599138396187,5531
S2_pairs,S2,1620985466,200,False,weak_PD,1.6,1.0,0.0,0.0,True,0.01,0.5,100,0,30,0.1,100000,0.14250000000000002,0.052500000000000005,0.4325,0.0615,0.14,0.13399999999999998,0.03700000000000001,0.6477731498920948,0.015114873035066506,0.3691301706578461,0.49012004829812783,0.3918082450676185,19.01,19.01,101.17541992635266,0.0,False,True,-0.002210696842787005,5333
S2_pairs,S2,2121129191,200,False,snowdrift,4.0,3.0,0.0,2.0,True,0.01,0.5,100,0,30,0.1,100000,0.1065,0.0605,0.47450000000000003,0.0655,0.08549999999999999,0.08499999999999999,0.12250000000000001,0.7299711898232324,0.0304,1.056060660891188,1.2621361850730803,1.185941050541541,20.11,20.11,94.10179246277941,0.0,False,True,-0.011879279517117338,5406
S2_pairs,S2,686818433,200,False,snowdrift,4.0,3.0,0.0,2.0,True,0.01,0.5,100,0,30,0.1,100000,0.1705,0.03899999999999999,0.326,0.14250000000000002,0.078,0.1625,0.08149999999999999,0.4643745522774235,0.037187681580476466,1.3448044263559111,1.601578381030357,1.4375472723386276,19.15,19.15,97.13399106962646,0.0,False,False,-0.03639984159936805,5516
S2_pairs,S2,744720527,200,False,snowdrift,4.0,3.0,0.0,2.0,True,0.01,0.5,100,0,30,0.1,100000,0.1255,0.063,0.4165,0.08449999999999999,0.132,0.1355,0.043000000000000003,0.6581618133451748,0.04395604395604396,1.00964085766101,0.9574427717240267,1.0486455183663033,20.14,20.14,90.98206861262629,0.0,False,False,-0.036521570086281444,5308
S2_pairs,S2,381425458,200,False,snowdrift,4.0,3.0,0.0,2.0,True,0.01,0.5,100,0,30,0.1,100000,0.151,0.04699999999999999,0.3325,0.09899999999999999,0.17500000000000002,0.11949999999999998,0.076,0.5903629929326311,0.01910067648229208,1.100781247153567,1.0678428370934214,1.1982531590713745,19.56,19.56,99.71915265237085,0.0,False,True,-0.01670116280465067,5483
S2_pairs,S2,1620985466,200,False,snowdrift,4.0,3.0,0.0,2.0,True,0.01,0.5,100,0,30,0.1,100000,0.14250000000000002,0.041999999999999996,0.305,0.11599999999999999,0.10200000000000001,0.22500000000000003,0.0675,0.47150063993642843,0.08910295003010235,1.2482422720111221,1.5879399341757579,1.3769618717512755,19.88,19.88,95.73724526313066,0.0,False,True,-0.013521222084890538,5692
S2_pairs,S2,2121129191,200,False,PD_classic,9.0,5.0,1.0,0.0,True,0.0,0.5,100,5,30,0.1,100000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.319327915028796,0.0,1.319327915028796,5.0,19.36,99.97703011837307,0.995,True,True,0.0016158304633218533,555
S2_pairs,S2,686818433,200,False,PD_classic,9.0,5.0,1.0,0.0,True,0.0,0.5,100,5,30,0.1,100000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.323675926493993,0.0,1.323675926493993,5.0,19.95,98.260926900683,1.0,True,True,0.0,472
S2_pairs,S2,744720527,200,False,PD_classic,9.0,5.0,1.0,0.0,True,0.0,0.5,100,5,30,0.1,100000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2226424887603016,0.0,1.2226424887603016,5.0,19.83,92.82767715503394,1.0,True,True,0.0012320449281775154,367
