variant_name,prediction,seed,compat_N,well_mixed,payoff_preset,payoff_T,payoff_R,payoff_P,payoff_S,evolution_on,mutation_rate,fermi_k,evolution_interval,dunbar_limit,vision_radius,player_speed,end_cycle,share_TFT,share_ALLC,share_ALLD,share_FTFT,share_TF2T,share_GRIM,share_WSLS,d_share,exploit_last_window,payoff_ALLD,payoff_TFT,payoff_all,known_partners,distinct_partners,games_per_partner,exceeding_dunbar,fixated,stabilized,alld_trend_10k,nb_character_changes,network_variant,net_nodes,net_edges,net_mean_degree,net_avg_path,net_density,net_betw_max,net_betw_mean,enc_share_remembered,enc_share_ever,enc_distinct
PM2_P12_wellmixed,P1P2,1620985466,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.0,0.5,100,0,30,0.1,100000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.9983148682316894,199.0,199.0,919.547638190955,0.0,True,True,0.0,12317,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,199.0
PM2_P12_wellmixed,P1P2,1669164794,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.0,0.5,100,0,30,0.1,100000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.997771514511177,2.997771514511177,199.0,199.0,919.4992462311552,0.0,True,True,0.0,31167,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,199.0
PM2_P12_wellmixed,P1P2,798359651,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.0,0.5,100,0,30,0.1,100000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.9977870047283255,199.0,199.0,919.4275879396987,0.0,True,True,0.0,14388,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.98
PM2_P12_wellmixed,P1P2,126337246,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.0,0.5,100,0,30,0.1,100000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9982630410574225,199.0,199.0,919.5439698492457,0.0,True,True,0.0,13389,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.99
PM2_P12_wellmixed,P1P2,317149051,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.0,0.5,100,0,30,0.1,100000,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9983330104830674,199.0,199.0,919.5681407035181,0.0,True,True,0.0,30635,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,199.0
PM2_P12_wellmixed,P1P2,433399445,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.0,0.5,100,0,30,0.1,100000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.9979042969972713,199.0,199.0,919.5717085427133,0.0,True,True,0.0,22453,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.99
PM2_P12_wellmixed,P1P2,2121129191,200,True,PD_classic,9.0,5.0,1.0,0.0,True,0.01,0.5,100,0,30,0.1,100000,0.0045,0.0005,0.975,0.006500000000000001,0.0025,0.006,0.005,0.9910278833355752,0.017618664961105552,1.5046434230107473,0.0,1.504676309619898,199.0,199.0,919.6674371859303,0.0,False,False,-0.05691118764475168,35932,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,199.0
PM2_P12_wellmixed,P1P2,686818433,200,True,PD_classic,9.0,5.0,1.0,0.0,True,0.01,0.5,100,0,30,0.1,100000,0.096,0.005,0.7849999999999999,0.025500000000000002,0.071,0.016,0.0015,0.9820516004009443,0.032381181513965136,1.3712832259997174,1.3726246251721566,1.3712747916784138,199.0,199.0,919.6109547738697,0.0,False,False,-0.03941727766911068,34940,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.99
PM2_P12_wellmixed,P1P2,744720527,200,True,PD_classic,9.0,5.0,1.0,0.0,True,0.01,0.5,100,0,30,0.1,100000,0.1405,0.0015,0.8220000000000001,0.0105,0.005,0.0165,0.004,0.9870543703610236,0.025050171430446265,1.3498579683778724,1.3462656569333915,1.349613433982257,199.0,199.0,919.4558793969845,0.0,False,False,-0.0328437713750833,39070,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.99
PM2_P12_wellmixed,P1P2,381425458,200,True,PD_classic,9.0,5.0,1.0,0.0,True,0.01,0.5,100,0,30,0.1,100000,0.005999999999999999,0.002,0.7244999999999999,0.132,0.08049999999999999,0.045,0.01,0.9545521603534336,0.07986259025024303,1.495402233767666,1.5075526884071837,1.4955137001222192,199.0,199.0,919.5759296482407,0.0,False,True,0.01350672602690484,40443,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.99
PM2_P12_wellmixed,P1P2,1620985466,200,True,PD_classic,9.0,5.0,1.0,0.0,True,0.01,0.5,100,0,30,0.1,100000,0.003,0.031000000000000007,0.002,0.321,0.0725,0.38700000000000007,0.18350000000000002,0.02251071799730819,0.017597488885364772,1.7055750637301124,0.0,1.7112491527918083,199.0,199.0,919.6025628140701,0.0,False,False,-0.04372157488629845,46410,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,199.0
PM2_P12_wellmixed,P1P2,1669164794,200,True,PD_classic,9.0,5.0,1.0,0.0,True,0.01,0.5,100,0,30,0.1,100000,0.0755,0.0035000000000000005,0.8239999999999998,0.039,0.045,0.008,0.004999999999999999,0.9819308287972041,0.03328159839111616,1.7666993331667207,1.7782377700820506,1.7669038236934056,199.0,199.0,919.4580402010045,0.0,False,False,0.22864541058164234,36380,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,199.0
PM2_P12_wellmixed,P1P2,798359651,200,True,PD_classic,9.0,5.0,1.0,0.0,True,0.01,0.5,100,0,30,0.1,100000,0.0005,0.0045,0.9480000000000001,0.004999999999999999,0.03250000000000001,0.0075,0.002,0.9894575880010376,0.02046684524134915,1.3201505919860919,0.0,1.3202709176632335,199.0,199.0,919.5800000000002,0.0,False,True,0.00015180060720279502,38521,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,199.0
PM2_P12_wellmixed,P1P2,126337246,200,True,PD_classic,9.0,5.0,1.0,0.0,True,0.01,0.5,100,0,30,0.1,100000,0.03950000000000001,0.003,0.8335000000000001,0.0355,0.0675,0.0055,0.0155,0.9807071098300945,0.036176684195294025,1.6047568022920038,1.6032006288272782,1.6051261469128448,199.0,199.0,919.4444221105528,0.0,False,False,0.11683796335185379,42312,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.99
PM2_P12_wellmixed,P1P2,317149051,200,True,PD_classic,9.0,5.0,1.0,0.0,True,0.01,0.5,100,0,30,0.1,100000,0.026999999999999996,0.002,0.7585,0.183,0.0185,0.006999999999999999,0.004,0.9760157355378881,0.04459500068296681,1.6102996574787025,1.5980662698858914,1.6096938303807067,199.0,199.0,919.5551256281406,0.0,False,False,0.12201989607958394,45467,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.99
PM2_P12_wellmixed,P1P2,433399445,200,True,PD_classic,9.0,5.0,1.0,0.0,True,0.01,0.5,100,0,30,0.1,100000,0.09349999999999999,0.003,0.8474999999999999,0.0035000000000000005,0.009499999999999998,0.0095,0.0335,0.9622334357273161,0.06989176707486566,1.1986588625597088,1.2009245510717104,1.198733007988619,199.0,199.0,919.5356783919598,0.0,False,False,0.020584882339532654,29260,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,199.0
PM2_P12_wellmixed,P1P2,2121129191,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.01,0.5,100,0,30,0.1,100000,0.0045,0.654,0.3235,0.001,0.0,0.0,0.016999999999999998,0.33487475468838435,0.4418241834036753,2.710425682037013,0.0,2.710695429819487,199.0,199.0,919.4870351758796,0.0,False,True,-0.0012856131424520206,54520,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.99
PM2_P12_wellmixed,P1P2,686818433,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.01,0.5,100,0,30,0.1,100000,0.004,0.6395,0.3415,0.0005,0.0085,0.0025,0.0034999999999999996,0.3470081445844119,0.447651318486132,2.773848439782754,2.770097705349766,2.7730897443142557,199.0,199.0,919.6190954773866,0.0,False,True,-0.0012541490165957003,59421,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,199.0
PM2_P12_wellmixed,P1P2,744720527,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.01,0.5,100,0,30,0.1,100000,0.001,0.6465,0.316,0.008,0.009000000000000003,0.006,0.013500000000000002,0.33450679590618826,0.43532375004780716,2.712344301871084,0.0,2.712304619803642,199.0,199.0,919.5814572864322,0.0,False,True,0.0025166020664082658,53763,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,199.0
